stelle,zeichen_code,zeichen_original,position,bedeutung,normen,verwendung_ende
GBA,StbStR,StbSt(R) ,hauptzeichen,Revisionen in berufsgerichtlichen Verfahren (Steuerberater- und Steuerbevollmächtigtensachen),NA,NA
BGH,StR,StR ,hauptzeichen,"Revisionen und Vorlegungssachen nach § 121 Abs.1 Nr.1, Abs. 2 GVG, § 79 Abs. 3 OWiG, §§ 13 Abs. 4, 25 StrRehaG (Strafsachen)","§ 121 I Nr.1, II S.2 GVG; § 79 III OWiG; § 13 IV StrRehaG; § 25 StrRehaG",NA
GBA,StR,StR ,hauptzeichen,"Revisionen und Vorlegungssachen nach § 121 Abs.1 Nr.1, Abs. 2 GVG, § 79 Abs. 3 OWiG, §§ 13 Abs. 4, 25 StrRehaG (Strafsachen)","§ 121 I Nr.1, II S.2 GVG; § 79 III OWiG; § 13 IV StrRehaG; § 25 StrRehaG",NA
BGH,VGS,VGS ,hauptzeichen,Vereinigte Große Senate,§ 132 GVG,NA
BGH,VRG,VRG,hauptzeichen,Ersuchen des Bundesverfassungsgerichts zu Vorlagen nach Art. 100 GG und zu Verfassungsbeschwerden ,NA,NA
BGH,WpStB,WpSt(B) ,hauptzeichen,Beschwerden gegen die Nichtzulassung der Revision und Beschwerden in berufsgerichtlichen Verfahren (Wirtschaftsprüfersachen),NA,NA
BGH,WpStR,WpSt(R) ,hauptzeichen,Revisionen in berufsgerichtlichen Verfahren (Wirtschaftsprüfersachen),NA,NA
GBA,WpStB,WpSt(B) ,hauptzeichen,Beschwerden gegen die Nichtzulassung der Revision und Beschwerden in berufsgerichtlichen Verfahren (Wirtschaftsprüfersachen),NA,NA
GBA,WpStR,WpSt(R) ,hauptzeichen,Revisionen in berufsgerichtlichen Verfahren (Wirtschaftsprüfersachen),NA,NA
BGH,ZA,ZA ,hauptzeichen,Anträge außerhalb eines in der Rechtsmittelinstanz anhängigen Verfahrens (Zivilsachen),NA,NA
BGH,ZB,ZB ,hauptzeichen,"Beschwerden, Rechtsbeschwerden, weitere Beschwerden, Beschwerden gegen die Nichtzulassung der Revision nach dem BEG (Zivilsachen)",NA,NA
BGH,ZR,ZR ,hauptzeichen,"Revisionen, Beschwerden gegen die Nichtzulassung der Revision, Anträge auf Zulassung der Sprungrevision, Berufungen in Patentsachen (Zivilsachen)",NA,NA
BGH,ZRÜ,ZR(Ü) ,hauptzeichen,Erstinstanzliche Klagen auf Entschädigung wegen überlanger Gerichtsverfahren und strafrechtlicher Ermittlungsverfahren (Zivilsachen),NA,NA
BPatG,Li,Li ,hauptzeichen,Zwangslizenzverfahren ,NA,NA
BPatG,LiQ,LiQ ,hauptzeichen,Einstweilige Verfügungen in Zwangslizenzverfahren,NA,NA
